id;Tarih;personelID;IP;gorevID;islem;firmaID;url;modulAd
87866;24.05.2023 15:00:00;28;192.168.1.128;0;Stok Miktari Güncelleme. ISLEM: miktarGir MIKTAR: 77000;5;;
87867;24.05.2023 15:00:00;28;192.168.1.128;3038;Stok Düzenleme Ekrani Girisi;5;;Stok
87868;24.05.2023 15:00:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87869;24.05.2023 15:00:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87870;24.05.2023 15:00:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87871;24.05.2023 15:02:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87872;24.05.2023 15:02:00;28;192.168.1.128;702;Stok Düzenleme Ekrani Girisi;5;;Stok
87873;24.05.2023 15:02:00;28;192.168.1.128;702;Stok Güncelleme: HM-00527;5;;Stok
87874;24.05.2023 15:02:00;28;192.168.1.128;702;Ürün bilgileri güncellendi:HM-00527;5;;Stok
87875;24.05.2023 15:02:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87876;24.05.2023 15:03:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87877;24.05.2023 15:03:00;28;192.168.1.128;702;Stok Düzenleme Ekrani Girisi;5;;Stok
87878;24.05.2023 15:03:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87879;24.05.2023 15:03:00;27;192.168.1.138;0;Mal Kabul Siparisleri Listelendi;5;;Satin Alma
87880;24.05.2023 15:03:00;27;192.168.1.138;0;Satinalma Talep Olusturma Ekrani;5;;Satin Alma
87881;24.05.2023 15:04:00;28;192.168.1.128;0;Stok Miktari Güncelleme. ISLEM: miktarGir MIKTAR: 24;5;;
87882;24.05.2023 15:04:00;28;192.168.1.128;702;Stok Düzenleme Ekrani Girisi;5;;Stok
87883;24.05.2023 15:04:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87884;24.05.2023 15:04:00;27;192.168.1.138;0;Mal Kabul Siparisleri Listelendi;5;;Satin Alma
87885;24.05.2023 15:04:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87886;24.05.2023 15:04:00;28;192.168.1.128;262;Stok Düzenleme Ekrani Girisi;5;;Stok
87887;24.05.2023 15:04:00;28;192.168.1.128;0;Stok Miktari Güncelleme. ISLEM: miktarGir MIKTAR: 6070;5;;
87888;24.05.2023 15:04:00;28;192.168.1.128;262;Stok Düzenleme Ekrani Girisi;5;;Stok
87889;24.05.2023 15:04:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87890;24.05.2023 15:05:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87891;24.05.2023 15:05:00;27;192.168.1.138;0;Mal Kabul Siparisleri Listelendi;5;;Satin Alma
87892;24.05.2023 15:05:00;27;192.168.1.138;0;Üretim Isleri Listelendi;5;;Üretim
87893;24.05.2023 15:05:00;28;192.168.1.128;336;Stok Düzenleme Ekrani Girisi;5;;Stok
87894;24.05.2023 15:05:00;28;192.168.1.128;0;Stok Miktari Güncelleme. ISLEM: miktarGir MIKTAR: 15000;5;;
87895;24.05.2023 15:05:00;28;192.168.1.128;336;Stok Düzenleme Ekrani Girisi;5;;Stok
87896;24.05.2023 15:05:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87897;24.05.2023 15:05:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87898;24.05.2023 15:05:00;27;192.168.1.138;0;Banka Listesi Ekrani;5;;
87899;24.05.2023 15:05:00;27;192.168.1.138;0;Yetkisiz Giris;5;;
87900;24.05.2023 15:06:00;28;192.168.1.128;251;Stok Düzenleme Ekrani Girisi;5;;Stok
87901;24.05.2023 15:06:00;28;192.168.1.128;0;Stok Miktari Güncelleme. ISLEM: miktarGir MIKTAR: 1299;5;;
87902;24.05.2023 15:06:00;28;192.168.1.128;251;Stok Düzenleme Ekrani Girisi;5;;Stok
87903;24.05.2023 15:06:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87904;24.05.2023 15:06:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87905;24.05.2023 15:06:00;28;192.168.1.128;257;Stok Düzenleme Ekrani Girisi;5;;Stok
87906;24.05.2023 15:07:00;28;192.168.1.128;0;Stok Miktari Güncelleme. ISLEM: miktarGir MIKTAR: 200;5;;
87907;24.05.2023 15:07:00;28;192.168.1.128;257;Stok Düzenleme Ekrani Girisi;5;;Stok
87908;24.05.2023 15:07:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
87909;24.05.2023 15:07:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
