id;Tarih;personelID;IP;gorevID;islem;firmaID;url;modulAd
84866;22.05.2023 16:51:00;2;127.0.0.1;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84867;22.05.2023 16:51:00;28;192.168.1.128;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84868;22.05.2023 16:51:00;29;192.168.1.187;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84869;22.05.2023 16:51:00;29;192.168.1.187;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
84870;22.05.2023 16:51:00;2;127.0.0.1;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84871;22.05.2023 16:51:00;28;192.168.1.128;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84872;22.05.2023 16:51:00;29;192.168.1.187;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84873;22.05.2023 16:51:00;2;127.0.0.1;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84874;22.05.2023 16:51:00;28;192.168.1.128;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84875;22.05.2023 16:51:00;29;192.168.1.187;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84876;22.05.2023 16:51:00;2;127.0.0.1;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84877;22.05.2023 16:51:00;28;192.168.1.128;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84878;22.05.2023 16:51:00;29;192.168.1.187;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84879;22.05.2023 16:51:00;2;127.0.0.1;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84880;22.05.2023 16:51:00;28;192.168.1.128;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84881;22.05.2023 16:51:00;29;192.168.1.187;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84882;22.05.2023 16:51:00;29;192.168.1.187;0;Yeni Reçete Adim Ekleme Ekrani Girisi;5;;Reçete
84883;22.05.2023 16:51:00;2;127.0.0.1;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84884;22.05.2023 16:51:00;28;192.168.1.128;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84885;22.05.2023 16:51:00;29;192.168.1.187;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84886;22.05.2023 16:51:00;2;127.0.0.1;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84887;22.05.2023 16:51:00;28;192.168.1.128;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
84888;22.05.2023 16:51:00;29;192.168.1.187;0;Log dosyasi olusturuldu. Olusturulan dosya : ;5;;
