id;Tarih;personelID;IP;gorevID;islem;firmaID;url;modulAd
128065;22.06.2023 17:53:00;39;192.168.1.118;0;Stok Listesi Ekrani;5;;Stok
128066;22.06.2023 17:53:00;39;192.168.1.118;4129;Stok Depo Miktarlari Detay;5;;stok
128067;22.06.2023 17:53:00;39;192.168.1.118;0;Üretim Isleri Listelendi;5;;Üretim
128068;22.06.2023 17:53:00;39;192.168.1.118;0;Üretim Depo Girisi Bekleyen Ürünler Ekrani;5;;Üretim
128069;22.06.2023 17:54:00;39;192.168.1.118;0;Stok Listesi Ekrani;5;;Stok
128070;22.06.2023 17:54:00;39;192.168.1.118;0;Stok Listesi Ekrani;5;;Stok
128071;22.06.2023 17:54:00;39;192.168.1.118;781;Stok Depo Miktarlari Detay;5;;stok
128072;22.06.2023 17:56:00;39;192.168.1.118;0;Üretim Depo Girisi Bekleyen Ürünler Ekrani;5;;Üretim
128073;22.06.2023 17:56:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
128074;22.06.2023 17:56:00;28;192.168.1.128;0;Stok Listesi Ekrani;5;;Stok
128075;22.06.2023 17:56:00;28;192.168.1.128;703;Stok Düzenleme Ekrani Girisi;5;;Stok
128076;22.06.2023 17:57:00;28;192.168.1.128;703;Stok Düzenleme Ekrani Girisi;5;;Stok
128077;22.06.2023 17:57:00;39;192.168.1.118;0;Hücre Kaydet islemi basarili (tablo:stok.stokHareket) (alan:stokHareketTuru) (id:5158) (deger:G);5;;
128078;22.06.2023 17:57:00;39;192.168.1.118;0;Üretim Depo Girisi Bekleyen Ürünler Ekrani;5;;Üretim
128079;22.06.2023 17:57:00;39;192.168.1.118;0;Hücre Kaydet islemi basarili (tablo:stok.stokHareket) (alan:stokHareketTuru) (id:5158) (deger:G);5;;
128080;22.06.2023 17:57:00;39;192.168.1.118;0;Üretim Depo Girisi Bekleyen Ürünler Ekrani;5;;Üretim
128081;22.06.2023 17:58:00;28;192.168.1.128;0;Depolar arasi transfer giris depo seçildi giris depo:;5;;Depo
128082;22.06.2023 17:58:00;28;192.168.1.128;0;Depolar arasi transfer giris depo seçildi giris depo:;5;;Depo
128083;22.06.2023 17:58:00;39;192.168.1.118;0;Hücre Kaydet islemi basarili (tablo:stok.stokHareket) (alan:stokHareketTuru) (id:5160) (deger:G);5;;
128084;22.06.2023 17:58:00;39;192.168.1.118;0;Üretim Depo Girisi Bekleyen Ürünler Ekrani;5;;Üretim
